sales_rep_id,rep_name,region,employed_since
1,Peter Morales,Auvergne-Rhone-Alpes,2023-01-09
2,Travis Barber,Hesse,2026-01-01
3,Eric Harrison,North Holland,2021-01-18
4,Christian Perez,Bavaria,2024-12-27
5,Rickey Buck,Ile-de-France,2021-08-03
6,James Pruitt,Ile-de-France,2024-03-09
7,Christopher Campbell,Bavaria,2025-09-17
8,Susan Miller,Zurich,2025-11-05
9,Natalie Foley,Bavaria,2021-10-30
10,Michele Bailey,Auvergne-Rhone-Alpes,2020-11-16
11,Jennifer Santiago,South Holland,2024-04-10
12,Sara Williams,North Rhine-Westphalia,2023-02-28
